id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Arrondissement,dist_metro
2019-133962,2019-10-15,1.0,13214,757.0,103.0,4.0,sols,430000.0,43.346959,5.411747,0,1,13,1,0,2019,4,2019_Q4,POINT (5.411747 43.346959),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4174.757281553398,10,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.047844415953967906
2019-134192,2019-10-30,1.0,13214,676.0,45.0,2.0,sols,169000.0,43.33605,5.408121,0,1,13,1,0,2019,4,2019_Q4,POINT (5.408121 43.33605),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3755.5555555555557,10,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.03963299634423282
2019-134552,2019-11-29,1.0,13214,257.0,85.0,3.0,sols,293000.0,43.345616,5.412637,1,1,13,1,0,2019,4,2019_Q4,POINT (5.412637 43.345616),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3447.0588235294117,11,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04790754608270782
2019-134759,2019-12-10,1.0,13214,460.0,90.0,4.0,sols,280000.0,43.349323,5.407214,0,1,13,1,0,2019,4,2019_Q4,POINT (5.407214 43.349323),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3111.1111111111113,12,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.045487298431686154
2019-134808,2019-12-19,1.0,13214,418.0,100.0,4.0,sols,390000.0,43.347061,5.409308,0,1,13,1,0,2019,4,2019_Q4,POINT (5.409308 43.347061),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3900.0,12,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.045857125456740325
2019-134813,2019-12-23,1.0,13214,416.0,207.0,7.0,sols,508000.0,43.345865,5.412284,0,1,13,1,0,2019,4,2019_Q4,POINT (5.412284 43.345865),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2454.1062801932367,12,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04773017579973823
2019-134975,2019-12-18,1.0,13214,383.0,75.0,4.0,sols,171000.0,43.342449,5.40628,0,1,13,1,0,2019,4,2019_Q4,POINT (5.40628 43.342449),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2280.0,12,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04082406977140118
2019-135120,2019-12-19,1.0,13214,257.0,90.0,3.0,sols,192000.0,43.345616,5.412637,1,1,13,1,0,2019,4,2019_Q4,POINT (5.412637 43.345616),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2133.3333333333335,12,5162.367814945842,7904.524444870937,105,9,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04790754608270782
2020-125921,2020-05-06,1.0,13214,0.0,67.0,4.0,0,187000.0,43.345814,5.413042,2,1,13,1,0,2020,2,2020_Q2,POINT (5.413042 43.345814),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2791.044776119403,5,2556.3230051577257,1040.902393134267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.048357115630889645
2020-125965,2020-05-11,1.0,13214,0.0,122.0,3.0,0,250000.0,43.34807,5.410806,0,2,13,1,0,2020,2,2020_Q2,POINT (5.410806 43.34807),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2049.1803278688526,5,2556.3230051577257,1040.902393134267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.047663249635929994
2020-126029,2020-05-15,1.0,13214,144.0,78.0,4.0,sols,275000.0,43.345629,5.408443,0,1,13,1,0,2020,2,2020_Q2,POINT (5.408443 43.345629),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3525.641025641026,5,2556.3230051577257,1040.902393134267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04434502089694063
2020-126192,2020-05-14,1.0,13214,517.0,154.0,5.0,sols,369000.0,43.345662,5.413032,0,1,13,1,0,2020,2,2020_Q2,POINT (5.413032 43.345662),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,2396.103896103896,5,2556.3230051577257,1040.902393134267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.048271994171184475
2020-126470,2020-06-10,1.0,13214,189.0,70.0,2.0,sols,236000.0,43.339857,5.406874,0,1,13,1,0,2020,2,2020_Q2,POINT (5.406874 43.339857),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3371.4285714285716,6,2556.3230051577257,1040.902393134267,105,10,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04007842570793223
2020-127301,2020-07-08,1.0,13214,148.0,80.0,4.0,sols,278000.0,43.346408,5.408373,0,1,13,1,0,2020,3,2020_Q3,POINT (5.408373 43.346408),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3475.0,7,3138.034968592199,1340.1206454938201,105,7,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04471683137408803
2020-127901,2020-09-04,1.0,13214,0.0,141.0,6.0,0,440000.0,43.34321,5.406507,1,1,13,1,0,2020,3,2020_Q3,POINT (5.406507 43.34321),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3120.567375886525,9,3138.034968592199,1340.1206454938201,105,7,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04141397226827628
2020-128146,2020-09-21,1.0,13214,560.0,76.0,3.0,sols,332900.0,43.347751,5.411244,0,1,13,1,0,2020,3,2020_Q3,POINT (5.411244 43.347751),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4380.263157894737,9,3138.034968592199,1340.1206454938201,105,7,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.0478508415020792
2020-129281,2020-11-24,1.0,13214,594.0,122.0,3.0,sols,435000.0,43.344159,5.405964,0,1,13,1,0,2020,4,2020_Q4,POINT (5.405964 43.344159),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3565.5737704918033,11,2662.063842762035,1256.589622720263,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.041465670001707006
2020-129736,2020-12-02,1.0,13214,0.0,106.0,5.0,0,360000.0,43.348898,5.408331,1,1,13,1,0,2020,4,2020_Q4,POINT (5.408331 43.348898),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3396.2264150943397,12,2662.063842762035,1256.589622720263,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04612028021508037
2020-129985,2020-12-14,1.0,13214,1000.0,134.0,2.0,solssols,519000.0,43.347996,5.409706,0,1,13,1,1,2020,4,2020_Q4,POINT (5.409706 43.347996),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3873.134328358209,12,2662.063842762035,1256.589622720263,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04671304952036726
2021-140380,2021-01-27,1.0,13214,474.0,98.0,5.0,sols,350000.0,43.349968,5.406523,0,1,13,1,0,2021,1,2021_Q1,POINT (5.406523 43.349968),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3571.4285714285716,1,3095.559583617733,1178.5610085346752,105,5,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04534662522328005
2021-148211,2021-06-10,1.0,13214,432.0,52.0,3.0,solssols,199500.0,43.335907,5.407943,0,1,13,1,1,2021,2,2021_Q2,POINT (5.407943 43.335907),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3836.5384615384614,6,3274.7716846853673,1516.7280738994211,105,7,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.03941485353436611
2021-149495,2021-05-28,1.0,13214,459.0,74.0,4.0,sols,262500.0,43.350088,5.40882,0,1,13,1,0,2021,2,2021_Q2,POINT (5.40882 43.350088),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3547.2972972972975,5,3274.7716846853673,1516.7280738994211,105,7,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04722653400416971
2021-154790,2021-08-27,1.0,13214,302.0,100.0,4.0,sols,346700.0,43.344685,5.411379,0,1,13,1,0,2021,3,2021_Q3,POINT (5.411379 43.344685),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,3467.0,8,3516.118025644806,1435.49717266152,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04635191604275608
2021-155212,2021-08-07,1.0,13214,672.0,90.0,5.0,solssolssols,380000.0,43.341443,5.406814,0,1,13,1,2,2021,3,2021_Q3,POINT (5.406814 43.341443),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4222.222222222223,8,3516.118025644806,1435.49717266152,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.040779703164653756
2021-156134,2021-08-26,1.0,13214,468.0,78.0,4.0,sols,358700.0,43.34555,5.411762,0,1,13,1,0,2021,3,2021_Q3,POINT (5.411762 43.34555),37611.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140402,Guyneme,guynemer,4598.717948717948,8,3516.118025644806,1435.49717266152,105,6,1713.0,1568.0,55.0,89.0,545.0,1147.0,622.0,922.0,21110,13214,0.04712050560763063
2018-123936,2018-09-24,1.0,13204,93.0,110.0,4.0,sols,250000.0,43.307581,5.398916,0,1,13,1,0,2018,3,2018_Q3,POINT (5.398916 43.307581),24007.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132040404,Palais Longcham,palais longchamp,2272.7272727272725,9,2492.043669617031,821.934136019912,220,10,1920.0,1688.0,72.0,160.0,17.0,1892.0,701.0,944.0,20950,13204,0.004499519043076531
2017-63095,2017-10-17,1.0,13214,203.0,95.0,3.0,sols,190000.0,43.321531,5.380996,0,1,13,1,0,2017,4,2017_Q4,POINT (5.380996 43.321531),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2000.0,10,2251.820910973085,327.87647050882805,114,2,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.009712759197471837
2018-124536,2018-10-29,1.0,13214,144.0,78.0,4.0,jardins,182000.0,43.324193,5.383203,1,1,13,1,0,2018,4,2018_Q4,POINT (5.383203 43.324193),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2333.3333333333335,10,1711.7656930081966,678.2158790906929,114,7,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.012235654554566988
2019-132055,2019-07-10,1.0,13214,206.0,52.0,3.0,sols,96000.0,43.32151,5.381076,0,1,13,1,0,2019,3,2019_Q3,POINT (5.381076 43.32151),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,1846.1538461538462,7,1903.9700047446008,901.3336625051476,114,8,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.00979255705864839
2019-132919,2019-08-05,1.0,13214,236.0,70.0,3.0,sols,190000.0,43.321858,5.383602,0,1,13,1,0,2019,3,2019_Q3,POINT (5.383602 43.321858),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2714.285714285714,8,1903.9700047446008,901.3336625051476,114,8,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.012325708439845347
2019-133967,2019-10-11,1.0,13214,327.0,90.0,4.0,sols,229000.0,43.321314,5.383795,0,1,13,1,0,2019,4,2019_Q4,POINT (5.383795 43.321314),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2544.4444444444443,10,1911.516285433133,887.4770879027766,114,10,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.012511738467818195
2020-126825,2020-06-15,1.0,13214,0.0,78.0,4.0,0,165000.0,43.324193,5.383203,1,1,13,1,0,2020,2,2020_Q2,POINT (5.383203 43.324193),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2115.3846153846152,6,1773.081648575877,653.9575065564691,114,5,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.012235654554566988
2020-127414,2020-07-29,1.0,13214,123.0,49.0,2.0,sols,70000.0,43.321058,5.381337,0,1,13,1,0,2020,3,2020_Q3,POINT (5.381337 43.321058),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,1428.5714285714287,7,1456.2297159636248,645.8082164676151,114,8,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.010060034072759539
2021-141321,2021-03-25,1.0,13214,132.0,84.0,4.0,solssols,190000.0,43.320773,5.381955,0,1,13,1,1,2021,1,2021_Q1,POINT (5.381955 43.320773),33914.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140202,Gibbe,gibbes,2261.904761904762,3,1938.4760334502073,965.435546182541,114,8,1167.0,1044.0,22.0,101.0,245.0,922.0,397.0,646.0,15460,13214,0.01069131821198233
2017-61502,2017-07-07,1.0,13214,424.0,134.0,4.0,sols,284000.0,43.341125,5.403769,0,1,13,1,0,2017,3,2017_Q3,POINT (5.403769 43.341125),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,2119.402985074627,7,1837.6983506202118,831.6495407143791,164,12,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.037990116838944564
2018-123005,2018-07-19,1.0,13214,702.0,130.0,6.0,sols,200000.0,43.33144,5.405239,0,1,13,1,0,2018,3,2018_Q3,POINT (5.405239 43.33144),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,1538.4615384615386,7,1491.3641913641914,429.68362929024414,164,7,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.03540043365125242
2019-130158,2019-03-08,1.0,13214,518.0,96.0,4.0,sols,260000.0,43.335946,5.406424,0,1,13,1,0,2019,1,2019_Q1,POINT (5.406424 43.335946),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,2708.3333333333335,3,1955.1340739638613,779.764804490802,164,9,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.03802102313245866
2019-131899,2019-06-26,1.0,13214,176.0,70.0,3.0,sols,88160.0,43.341314,5.403271,0,1,13,1,0,2019,2,2019_Q2,POINT (5.403271 43.341314),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,1259.4285714285713,6,1870.2415553383296,1054.5714795849947,164,14,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.03766460907542584
2020-125962,2020-05-14,1.0,13214,0.0,88.0,4.0,0,270000.0,43.33143,5.40559,1,1,13,1,0,2020,2,2020_Q2,POINT (5.40559 43.33143),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,3068.181818181818,5,2055.0935938330676,1247.5004277334367,164,8,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.035734441813008305
2020-128309,2020-09-30,1.0,13214,0.0,103.0,4.0,0,270000.0,43.336143,5.401522,1,1,13,1,0,2020,3,2020_Q3,POINT (5.401522 43.336143),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,2621.359223300971,9,1824.2422620442642,876.8823728294609,164,9,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.033628438906944974
2020-128744,2020-10-16,1.0,13214,469.0,93.0,3.0,sols,173000.0,43.33569,5.40379,0,1,13,1,0,2020,4,2020_Q4,POINT (5.40379 43.33569),563.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140404,Ch̢teau Vent,ch̢teau vento,1860.215053763441,10,1889.5847493570454,816.7676679736428,164,10,1568.0,1447.0,28.0,94.0,145.0,1422.0,342.0,1076.0,15660,13214,0.035497182620023764
2017-62005,2017-07-28,1.0,13214,105.0,38.0,2.0,solssols,108000.0,43.330372,5.383317,0,1,13,1,1,2017,3,2017_Q3,POINT (5.383317 43.330372),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,2842.1052631578946,7,2371.4760503743832,1357.2582543429462,42,2,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.014992929395080217
2018-120923,2018-03-19,1.0,13214,357.0,85.0,4.0,sols,182000.0,43.333339,5.379564,0,1,13,1,0,2018,1,2018_Q1,POINT (5.379564 43.333339),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,2141.176470588235,3,2111.527687998276,503.9512469288371,42,1,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.014506087694019594
2018-121457,2018-04-09,1.0,13214,244.0,70.0,4.0,sols,120000.0,43.331022,5.384862,0,2,13,1,0,2018,2,2018_Q2,POINT (5.384862 43.331022),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,1714.2857142857142,4,1605.338731386411,485.43865464570456,42,2,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.016625489333937434
2018-123652,2018-08-23,1.0,13214,267.0,49.0,4.0,sols,133000.0,43.33452,5.379876,0,1,13,1,0,2018,3,2018_Q3,POINT (5.379876 43.33452),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,2714.285714285714,8,2137.305402930403,926.3222319243472,42,2,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.015659457081229834
2019-133712,2019-09-27,1.0,13214,417.0,100.0,4.0,sols,130000.0,43.331734,5.383301,0,1,13,1,0,2019,3,2019_Q3,POINT (5.383301 43.331734),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,1300.0,9,1851.6263100334988,1021.6515021679902,42,6,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.01583100715579001
2021-140552,2021-02-09,1.0,13214,0.0,92.0,5.0,0,240000.0,43.331489,5.382155,1,1,13,1,0,2021,1,2021_Q1,POINT (5.382155 43.331489),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,2608.695652173913,2,3090.2175601388494,798.5951627257568,42,2,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.014812186855190397
2021-140997,2021-02-19,1.0,13214,230.0,60.0,3.0,solssols,205000.0,43.331184,5.384053,0,1,13,1,1,2021,1,2021_Q1,POINT (5.384053 43.331184),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,3416.6666666666665,2,3090.2175601388494,798.5951627257568,42,2,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.016069425099297128
2021-155017,2021-08-05,1.0,13214,470.0,94.0,4.0,sols,270000.0,43.331428,5.385119,0,1,13,1,0,2021,3,2021_Q3,POINT (5.385119 43.331428),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,2872.340425531915,8,5673.782473735653,10825.673899772288,42,8,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.017070649142970004
2021-155175,2021-08-12,1.0,13214,120.0,25.0,1.0,sols,49000.0,43.331676,5.381705,0,1,13,1,0,2021,3,2021_Q3,POINT (5.381705 43.331676),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,1960.0,8,5673.782473735653,10825.673899772288,42,8,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.0146156406905602
2021-155260,2021-08-26,1.0,13214,228.0,60.0,4.0,sols,110000.0,43.33306,5.383786,0,1,13,1,0,2021,3,2021_Q3,POINT (5.383786 43.33306),42385.0,"[""M̩tropole d'Aix-Marseille-Provence""]",132140101,Finat Duclo,finat duclos,1833.3333333333333,8,5673.782473735653,10825.673899772288,42,8,1353.0,1291.0,11.0,51.0,193.0,1143.0,438.0,823.0,12670,13214,0.01707634870670531
